HOUR,MIN,SEC,GDLAT,GLON,TEC,DTEC
0,2,30,-90,-73,1.72E+01,1.31E+00
0,2,30,-90,-72,1.73E+01,1.31E+00
0,2,30,-90,-71,1.72E+01,1.31E+00
0,2,30,-90,-70,1.72E+01,1.31E+00
0,2,30,-90,-69,1.73E+01,1.31E+00
0,2,30,-90,-68,1.73E+01,1.31E+00
0,2,30,-90,-67,1.73E+01,1.31E+00
0,2,30,-90,-66,1.74E+01,1.31E+00
0,2,30,-90,-65,1.75E+01,1.31E+00
0,2,30,-90,-63,1.76E+01,1.31E+00
0,2,30,-90,-62,1.78E+01,1.31E+00
0,2,30,-89,-160,1.62E+01,3.58E+00
0,2,30,-89,-157,1.62E+01,3.59E+00
0,2,30,-89,-154,1.62E+01,3.61E+00
0,2,30,-89,-151,1.61E+01,3.63E+00
0,2,30,-89,-128,1.83E+01,1.30E+00
0,2,30,-89,-93,1.89E+01,1.31E+00
0,2,30,-89,-92,1.86E+01,1.34E+00
0,2,30,-89,-83,1.60E+01,1.94E+00
0,2,30,-89,-82,1.60E+01,1.95E+00
0,2,30,-89,-80,1.59E+01,1.95E+00
0,2,30,-89,-79,1.60E+01,1.96E+00
0,2,30,-89,-21,1.74E+01,1.38E+00
0,2,30,-89,-18,1.74E+01,1.38E+00
0,2,30,-89,-15,1.73E+01,1.38E+00
0,2,30,-89,-12,1.71E+01,1.38E+00
0,2,30,-89,-9,1.72E+01,1.38E+00
0,2,30,-89,-6,1.71E+01,1.38E+00
0,2,30,-89,-3,1.72E+01,1.38E+00
0,2,30,-89,0,1.73E+01,1.37E+00
0,2,30,-89,3,1.73E+01,1.37E+00
0,2,30,-89,6,1.73E+01,1.37E+00
0,2,30,-89,9,1.73E+01,1.37E+00
0,2,30,-89,72,1.67E+01,1.33E+00
0,2,30,-89,73,1.67E+01,1.32E+00
0,2,30,-89,74,1.63E+01,1.33E+00
0,2,30,-89,107,1.85E+01,1.71E+00
0,2,30,-89,108,1.82E+01,1.52E+00
0,2,30,-88,-179,1.45E+01,6.52E+00
0,2,30,-88,-178,1.83E+01,3.48E+00
0,2,30,-88,-177,1.43E+01,6.55E+00
0,2,30,-88,-175,1.77E+01,3.19E+00
0,2,30,-88,-173,2.03E+01,4.65E+00
0,2,30,-88,-172,1.82E+01,3.51E+00
0,2,30,-88,-171,2.00E+01,4.67E+00
0,2,30,-88,-169,1.88E+01,2.82E+00
0,2,30,-88,-166,1.64E+01,7.48E+00
0,2,30,-88,-164,1.63E+01,3.56E+00
0,2,30,-88,-152,1.60E+01,1.44E+00
0,2,30,-88,-151,1.59E+01,1.35E+00
0,2,30,-88,-150,1.58E+01,1.34E+00
0,2,30,-88,-149,1.68E+01,1.24E+00
0,2,30,-88,-145,1.72E+01,3.62E+00
0,2,30,-88,-141,1.87E+01,4.97E+00
0,2,30,-88,-138,1.85E+01,4.99E+00
0,2,30,-88,-135,1.61E+01,5.01E+00
0,2,30,-88,-132,1.60E+01,5.03E+00
0,2,30,-88,-129,1.97E+01,7.02E+00
0,2,30,-88,-126,1.56E+01,3.70E+00
0,2,30,-88,-123,1.54E+01,3.72E+00
0,2,30,-88,-121,1.53E+01,3.73E+00
0,2,30,-88,-120,1.85E+01,1.31E+00
0,2,30,-88,-119,1.78E+01,1.24E+00
0,2,30,-88,-118,1.80E+01,1.31E+00
0,2,30,-88,-111,1.79E+01,1.30E+00
0,2,30,-88,-110,1.74E+01,1.31E+00
0,2,30,-88,-104,1.64E+01,1.83E+00
0,2,30,-88,-103,1.65E+01,1.50E+00
0,2,30,-88,-102,1.65E+01,1.59E+00
0,2,30,-88,-101,1.65E+01,1.59E+00
0,2,30,-88,-100,1.73E+01,1.32E+00
0,2,30,-88,-98,1.27E+01,4.90E+00
0,2,30,-88,-97,1.26E+01,4.92E+00
0,2,30,-88,-93,1.86E+01,1.31E+00
0,2,30,-88,-92,1.87E+01,1.34E+00
0,2,30,-88,-78,1.59E+01,1.96E+00
0,2,30,-88,-77,1.57E+01,1.97E+00
0,2,30,-88,-76,1.57E+01,1.97E+00
0,2,30,-88,-66,1.74E+01,1.31E+00
0,2,30,-88,-65,1.74E+01,1.31E+00
0,2,30,-88,-64,1.74E+01,1.31E+00
0,2,30,-88,-63,1.75E+01,1.30E+00
0,2,30,-88,-62,1.77E+01,1.31E+00
0,2,30,-88,-61,1.79E+01,1.31E+00
0,2,30,-88,-56,1.55E+01,1.39E+00
0,2,30,-88,-55,1.51E+01,1.56E+00
0,2,30,-88,-54,1.51E+01,1.37E+00
0,2,30,-88,-53,1.52E+01,1.39E+00
0,2,30,-88,-47,1.31E+01,2.03E+00
0,2,30,-88,-46,1.34E+01,2.03E+00
0,2,30,-88,-45,1.33E+01,2.02E+00
0,2,30,-88,-44,1.35E+01,2.02E+00
0,2,30,-88,-42,1.35E+01,2.01E+00
0,2,30,-88,-41,1.37E+01,2.01E+00
0,2,30,-88,-40,1.39E+01,2.00E+00
0,2,30,-88,-38,1.42E+01,2.00E+00
0,2,30,-88,-37,1.43E+01,1.99E+00
0,2,30,-88,-36,1.43E+01,1.99E+00
0,2,30,-88,-34,1.44E+01,1.98E+00
0,2,30,-88,-33,1.78E+01,1.33E+00
0,2,30,-88,-32,1.76E+01,1.38E+00
0,2,30,-88,6,1.66E+01,1.39E+00
0,2,30,-88,7,1.65E+01,1.39E+00
0,2,30,-88,8,1.66E+01,1.39E+00
0,2,30,-88,9,1.65E+01,1.39E+00
0,2,30,-88,24,1.72E+01,1.44E+00
0,2,30,-88,25,1.72E+01,1.44E+00
0,2,30,-88,61,1.87E+01,1.38E+00
0,2,30,-88,63,1.88E+01,1.38E+00
0,2,30,-88,65,1.89E+01,1.38E+00
0,2,30,-88,67,1.88E+01,1.37E+00
0,2,30,-88,69,1.89E+01,1.37E+00
0,2,30,-88,70,1.90E+01,1.37E+00
0,2,30,-88,72,1.90E+01,1.37E+00
0,2,30,-88,73,1.88E+01,1.37E+00
0,2,30,-88,75,1.89E+01,1.37E+00
0,2,30,-88,76,1.89E+01,1.37E+00
0,2,30,-88,78,1.89E+01,1.37E+00
0,2,30,-88,108,1.81E+01,1.70E+00
0,2,30,-88,109,1.79E+01,1.44E+00
0,2,30,-88,110,1.92E+01,9.63E-01
0,2,30,-88,111,2.04E+01,1.31E+00
0,2,30,-88,112,2.03E+01,1.31E+00
0,2,30,-88,113,1.93E+01,1.38E+00
0,2,30,-88,128,2.08E+01,1.34E+00
0,2,30,-88,129,2.06E+01,1.31E+00
0,2,30,-88,130,2.06E+01,1.31E+00
0,2,30,-88,131,2.05E+01,1.31E+00
0,2,30,-88,132,2.03E+01,1.34E+00
0,2,30,-88,146,1.80E+01,1.60E+00
0,2,30,-88,147,1.80E+01,1.61E+00
0,2,30,-88,148,1.82E+01,1.61E+00
0,2,30,-88,149,1.83E+01,1.61E+00
0,2,30,-88,171,1.97E+01,1.83E+00
0,2,30,-88,173,1.95E+01,1.84E+00
0,2,30,-88,175,1.96E+01,1.84E+00
0,2,30,-88,177,1.93E+01,1.85E+00
0,2,30,-88,179,1.90E+01,1.63E+00
0,2,30,-87,-173,1.78E+01,1.80E+00
0,2,30,-87,-171,1.79E+01,1.80E+00
0,2,30,-87,-169,1.77E+01,1.81E+00
0,2,30,-87,-168,1.74E+01,1.81E+00
0,2,30,-87,-166,1.73E+01,1.82E+00
0,2,30,-87,-164,1.73E+01,1.82E+00
0,2,30,-87,-163,1.72E+01,1.83E+00
0,2,30,-87,-162,1.74E+01,1.83E+00
0,2,30,-87,-160,1.74E+01,1.84E+00
0,2,30,-87,-159,1.84E+01,1.30E+00
0,2,30,-87,-158,1.76E+01,8.62E-01
0,2,30,-87,-156,1.69E+01,1.15E+00
0,2,30,-87,-154,1.80E+01,1.41E+00
0,2,30,-87,-152,1.78E+01,1.41E+00
0,2,30,-87,-150,1.77E+01,1.41E+00
0,2,30,-87,-149,1.72E+01,1.32E+00
0,2,30,-87,-148,1.73E+01,9.60E-01
0,2,30,-87,-147,1.71E+01,1.31E+00
0,2,30,-87,-146,1.74E+01,9.62E-01
0,2,30,-87,-144,1.77E+01,1.42E+00
0,2,30,-87,-142,1.76E+01,1.42E+00
0,2,30,-87,-141,1.76E+01,1.42E+00
0,2,30,-87,-139,1.75E+01,1.42E+00
0,2,30,-87,-120,1.51E+01,1.31E+00
0,2,30,-87,-119,1.56E+01,1.35E+00
0,2,30,-87,-118,1.56E+01,1.34E+00
0,2,30,-87,-117,1.56E+01,1.35E+00
0,2,30,-87,-116,1.57E+01,1.15E+00
0,2,30,-87,-115,1.43E+01,1.43E+00
0,2,30,-87,-114,1.41E+01,1.37E+00
0,2,30,-87,-110,1.65E+01,1.32E+00
0,2,30,-87,-109,1.65E+01,1.32E+00
0,2,30,-87,-108,1.46E+01,1.31E+00
0,2,30,-87,-101,1.56E+01,1.31E+00
0,2,30,-87,-84,1.71E+01,1.31E+00
0,2,30,-87,-83,1.77E+01,1.31E+00
0,2,30,-87,-82,1.82E+01,1.31E+00
0,2,30,-87,-79,1.79E+01,1.31E+00
0,2,30,-87,-55,1.56E+01,1.38E+00
0,2,30,-87,-46,1.57E+01,1.37E+00
0,2,30,-87,-45,1.57E+01,1.37E+00
0,2,30,-87,-44,1.58E+01,1.37E+00
0,2,30,-87,-43,1.59E+01,1.37E+00
0,2,30,-87,-42,1.59E+01,1.37E+00
0,2,30,-87,-41,1.60E+01,1.37E+00
0,2,30,-87,-40,1.63E+01,9.48E-01
0,2,30,-87,-39,1.62E+01,9.46E-01
0,2,30,-87,-38,1.62E+01,9.46E-01
0,2,30,-87,-37,1.63E+01,9.46E-01
0,2,30,-87,-36,1.61E+01,1.36E+00
0,2,30,-87,-32,1.74E+01,1.33E+00
0,2,30,-87,-31,1.73E+01,1.33E+00
0,2,30,-87,-30,1.74E+01,1.37E+00
0,2,30,-87,-28,1.54E+01,1.38E+00
0,2,30,-87,-27,1.56E+01,1.45E+00
0,2,30,-87,-26,1.56E+01,1.44E+00
0,2,30,-87,-25,1.56E+01,1.44E+00
0,2,30,-87,-24,1.56E+01,1.44E+00
0,2,30,-87,-23,1.56E+01,1.44E+00
0,2,30,-87,-22,1.57E+01,1.44E+00
0,2,30,-87,-21,1.56E+01,1.44E+00
0,2,30,-87,-20,1.56E+01,1.44E+00
0,2,30,-87,-19,1.55E+01,1.43E+00
0,2,30,-87,-18,1.49E+01,1.39E+00
0,2,30,-87,-17,1.86E+01,1.40E+00
0,2,30,-87,10,1.63E+01,1.39E+00
0,2,30,-87,11,1.63E+01,1.39E+00
0,2,30,-87,12,1.64E+01,1.39E+00
0,2,30,-87,13,1.63E+01,1.38E+00
0,2,30,-87,14,1.64E+01,1.38E+00
0,2,30,-87,15,1.63E+01,1.38E+00
0,2,30,-87,16,1.64E+01,1.38E+00
0,2,30,-87,26,1.71E+01,1.44E+00
0,2,30,-87,27,1.81E+01,9.69E-01
0,2,30,-87,28,1.80E+01,9.47E-01
0,2,30,-87,29,1.71E+01,1.43E+00
0,2,30,-87,30,1.72E+01,1.37E+00
0,2,30,-87,31,1.72E+01,1.43E+00
0,2,30,-87,32,1.73E+01,1.43E+00
0,2,30,-87,109,2.06E+01,1.32E+00
0,2,30,-87,110,2.07E+01,1.31E+00
0,2,30,-87,113,1.88E+01,1.31E+00
0,2,30,-87,114,1.84E+01,1.37E+00
0,2,30,-87,133,2.25E+01,8.39E+00
0,2,30,-87,134,1.80E+01,1.38E+00
0,2,30,-87,135,1.80E+01,1.36E+00
0,2,30,-87,136,1.82E+01,1.39E+00
0,2,30,-87,137,1.83E+01,1.39E+00
0,2,30,-87,141,1.94E+01,1.37E+00
0,2,30,-87,142,1.97E+01,5.85E+00
0,2,30,-87,143,1.83E+01,8.23E+00
0,2,30,-87,144,1.79E+01,1.46E+00
0,2,30,-87,145,1.80E+01,1.60E+00
0,2,30,-86,-180,1.46E+01,1.31E+00
0,2,30,-86,-179,1.47E+01,1.31E+00
0,2,30,-86,-170,1.81E+01,1.31E+00
0,2,30,-86,-169,1.79E+01,1.31E+00
0,2,30,-86,-131,1.81E+01,1.31E+00
0,2,30,-86,-130,1.82E+01,1.31E+00
0,2,30,-86,-119,1.53E+01,1.31E+00
0,2,30,-86,-118,1.53E+01,1.31E+00
0,2,30,-86,-117,1.53E+01,1.31E+00
0,2,30,-86,-116,1.58E+01,1.41E+00
0,2,30,-86,-114,1.42E+01,1.37E+00
0,2,30,-86,-113,1.43E+01,1.37E+00
0,2,30,-86,-108,1.46E+01,1.31E+00
0,2,30,-86,-107,1.45E+01,1.31E+00
0,2,30,-86,-101,1.55E+01,1.31E+00
0,2,30,-86,-98,1.65E+01,1.31E+00
0,2,30,-86,-97,1.64E+01,1.31E+00
0,2,30,-86,-81,1.42E+01,1.33E+00
0,2,30,-86,-80,1.41E+01,1.31E+00
0,2,30,-86,-79,1.42E+01,1.32E+00
0,2,30,-86,-78,1.43E+01,1.32E+00
0,2,30,-86,-77,1.42E+01,1.33E+00
0,2,30,-86,-73,1.44E+01,1.36E+00
0,2,30,-86,-72,1.42E+01,1.33E+00
0,2,30,-86,-71,1.43E+01,1.36E+00
0,2,30,-86,-70,1.43E+01,1.33E+00
0,2,30,-86,-69,1.44E+01,1.33E+00
0,2,30,-86,-68,1.45E+01,1.33E+00
0,2,30,-86,-67,1.45E+01,1.37E+00
0,2,30,-86,-65,1.55E+01,1.31E+00
0,2,30,-86,-64,1.56E+01,1.31E+00
0,2,30,-86,-57,1.53E+01,1.33E+00
0,2,30,-86,-56,1.55E+01,1.32E+00
0,2,30,-86,-55,1.55E+01,1.34E+00
0,2,30,-86,-33,1.73E+01,1.30E+00
0,2,30,-86,-32,1.74E+01,1.30E+00
0,2,30,-86,-29,1.54E+01,1.37E+00
0,2,30,-86,-28,1.54E+01,1.37E+00
0,2,30,-86,-27,1.54E+01,1.37E+00
0,2,30,-86,-26,1.54E+01,1.33E+00
0,2,30,-86,-25,1.56E+01,1.36E+00
0,2,30,-86,-24,1.55E+01,1.36E+00
0,2,30,-86,-18,1.57E+01,1.36E+00
0,2,30,-86,-17,1.83E+01,1.34E+00
0,2,30,-86,4,1.65E+01,1.37E+00
0,2,30,-86,5,1.65E+01,1.37E+00
0,2,30,-86,6,1.65E+01,1.43E+00
0,2,30,-86,7,1.65E+01,1.37E+00
0,2,30,-86,8,1.65E+01,1.36E+00
0,2,30,-86,9,1.64E+01,1.42E+00
0,2,30,-86,10,1.64E+01,1.42E+00
0,2,30,-86,21,1.68E+01,1.32E+00
0,2,30,-86,22,1.68E+01,1.32E+00
0,2,30,-86,23,1.67E+01,1.31E+00
0,2,30,-86,24,1.66E+01,1.31E+00
0,2,30,-86,25,1.65E+01,1.31E+00
0,2,30,-86,26,1.75E+01,9.39E-01
0,2,30,-86,27,1.75E+01,9.43E-01
0,2,30,-86,104,1.59E+01,1.34E+00
0,2,30,-86,105,1.60E+01,1.33E+00
0,2,30,-86,122,1.74E+01,1.37E+00
0,2,30,-86,123,2.01E+01,2.17E+00
0,2,30,-86,133,2.18E+01,5.97E+00
0,2,30,-86,146,1.87E+01,1.33E+00
0,2,30,-86,147,1.88E+01,3.70E+00
0,2,30,-86,156,1.84E+01,2.29E+00
0,2,30,-86,157,1.82E+01,2.29E+00
0,2,30,-86,158,1.79E+01,2.18E+00
0,2,30,-86,160,1.38E+01,1.30E+00
0,2,30,-86,166,2.17E+01,1.62E+00
0,2,30,-86,167,2.20E+01,1.62E+00
0,2,30,-86,168,2.22E+01,1.47E+00
0,2,30,-86,169,2.21E+01,1.63E+00
0,2,30,-86,170,2.20E+01,1.63E+00
0,2,30,-86,171,1.55E+01,4.74E-01
0,2,30,-86,172,2.20E+01,1.64E+00
0,2,30,-86,173,2.22E+01,1.65E+00
0,2,30,-86,174,2.24E+01,1.49E+00
0,2,30,-86,178,1.51E+01,1.31E+00
0,2,30,-86,179,1.46E+01,1.31E+00
0,2,30,-85,-127,1.57E+01,1.62E+00
0,2,30,-85,-126,1.64E+01,9.71E-01
0,2,30,-85,-125,1.62E+01,9.66E-01
0,2,30,-85,-124,1.59E+01,9.97E-01
0,2,30,-85,-123,1.54E+01,1.65E+00
0,2,30,-85,-114,1.75E+01,1.35E+00
0,2,30,-85,-113,1.76E+01,1.33E+00
0,2,30,-85,-110,1.78E+01,1.30E+00
0,2,30,-85,-102,1.68E+01,1.32E+00
0,2,30,-85,-101,1.69E+01,1.31E+00
0,2,30,-85,-99,1.88E+01,1.31E+00
0,2,30,-85,-98,1.65E+01,1.33E+00
0,2,30,-85,-89,1.68E+01,1.30E+00
0,2,30,-85,-88,1.64E+01,1.30E+00
0,2,30,-85,-87,1.68E+01,1.31E+00
0,2,30,-85,-86,1.78E+01,1.31E+00
0,2,30,-85,-82,1.40E+01,1.31E+00
0,2,30,-85,-81,1.57E+01,9.28E-01
0,2,30,-85,-80,1.77E+01,1.31E+00
0,2,30,-85,-79,1.86E+01,1.31E+00
0,2,30,-85,-77,1.53E+01,1.39E+00
0,2,30,-85,-69,1.24E+01,1.37E+00
0,2,30,-85,-68,1.24E+01,1.37E+00
0,2,30,-85,-64,1.56E+01,1.34E+00
0,2,30,-85,-63,1.53E+01,1.22E+00
0,2,30,-85,-62,1.40E+01,3.19E+00
0,2,30,-85,-61,1.39E+01,3.18E+00
0,2,30,-85,-48,1.63E+01,1.39E+00
0,2,30,-85,-47,1.63E+01,1.47E+00
0,2,30,-85,-46,1.62E+01,1.39E+00
0,2,30,-85,-45,1.61E+01,1.47E+00
0,2,30,-85,-44,1.60E+01,1.39E+00
0,2,30,-85,-43,1.60E+01,1.46E+00
0,2,30,-85,-42,1.59E+01,1.46E+00
0,2,30,-85,-41,1.70E+01,9.74E-01
0,2,30,-85,-40,1.81E+01,1.31E+00
0,2,30,-85,-31,1.54E+01,1.34E+00
0,2,30,-85,-30,1.54E+01,1.37E+00
0,2,30,-85,-29,1.54E+01,1.37E+00
0,2,30,-85,-22,1.85E+01,1.30E+00
0,2,30,-85,-21,1.94E+01,1.30E+00
0,2,30,-85,1,1.89E+01,1.32E+00
0,2,30,-85,2,1.87E+01,1.31E+00
0,2,30,-85,65,1.79E+01,1.35E+00
0,2,30,-85,66,1.81E+01,1.33E+00
0,2,30,-85,100,1.70E+01,3.66E+00
0,2,30,-85,101,1.71E+01,2.74E+00
0,2,30,-85,102,1.73E+01,3.62E+00
0,2,30,-85,103,2.28E+01,6.86E+00
0,2,30,-85,104,2.35E+01,6.84E+00
0,2,30,-85,105,1.60E+01,2.20E+00
0,2,30,-85,120,1.79E+01,1.39E+00
0,2,30,-85,121,1.62E+01,9.60E-01
0,2,30,-85,122,1.62E+01,1.34E+00
0,2,30,-85,135,2.12E+01,1.35E+00
0,2,30,-85,136,1.87E+01,3.97E+00
0,2,30,-85,138,2.17E+01,3.78E+00
0,2,30,-85,139,2.03E+01,3.45E+00
0,2,30,-85,140,1.86E+01,1.66E+00
0,2,30,-85,141,1.88E+01,1.50E+00
0,2,30,-85,145,1.82E+01,1.37E+00
0,2,30,-85,146,1.84E+01,1.32E+00
0,2,30,-85,150,2.22E+01,1.38E+00
0,2,30,-85,152,2.03E+01,3.59E+00
